category,event_ticker,event_title,market_ticker,market_title,yes_bid,yes_ask,mid_yes,last_price,close_time,time_to_close_hours
Climate and Weather,KXHMONTH-26JAN,This Jan 2026 is the hottest January ever?,KXHMONTH-26JAN,Hottest ever,0.0,0.02,0.02,0.02,2026-02-16 04:59:00+00:00,144.77
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-T1.30,1.30001 or above,0.02,0.03,0.025,0.06,2026-02-16 04:59:00+00:00,144.77
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.060,1.03 to 1.09,0.25,0.5,0.375,0.48,2026-02-16 04:59:00+00:00,144.77
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-T1.03,1.02999 or below,0.03,0.11,0.07,0.11,2026-02-16 04:59:00+00:00,144.77
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.200,1.17 to 1.23,0.05,0.15,0.1,0.15,2026-02-16 04:59:00+00:00,144.77
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.130,1.10 to 1.16,0.37,0.5,0.435,0.5,2026-02-16 04:59:00+00:00,144.77
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.270,1.24 to 1.30,0.0,0.05,0.01,0.01,2026-02-16 04:59:00+00:00,144.77
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B3.3,3.1 to 3.5,0.02,0.03,0.025,0.02,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B2.8,2.6 to 3.0,0.04,0.06,0.05,0.05,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T3.5,Above 3.5%,0.38,0.42,0.4,0.42,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T1.0,Above 1.0%,0.98,1.0,0.99,0.98,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T3.0,Above 3.0%,0.57,0.67,0.62,0.67,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B2.3,2.1 to 2.5,0.93,0.95,0.94,0.95,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T2.5,Above 2.5%,0.78,0.82,0.8,0.8,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.5,Above 2.5%,0.3,0.31,0.305,0.3,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T2.0,Above 2.0%,0.87,0.88,0.875,0.88,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.6,Above 2.6%,0.13,0.14,0.135,0.14,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T1.25,Above 1.25%,0.95,1.0,0.975,0.95,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B3.8,3.6 to 4.0,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T1.5,Above 1.5%,0.95,0.97,0.96,0.95,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B1.8,1.6 to 2.0,0.01,0.02,0.015,0.02,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.4,Above 2.4%,0.57,0.59,0.58,0.59,2026-02-11 13:29:00+00:00,33.27
