category,event_ticker,event_title,market_ticker,market_title,yes_bid,yes_ask,mid_yes,last_price,spread_yes,liquidity,tick_size,close_time,time_to_close_hours
Climate and Weather,KXHMONTH-26JAN,This Jan 2026 is the hottest January ever?,KXHMONTH-26JAN,Hottest ever,0.0,0.02,0.02,0.02,,2466.65,1,2026-02-16 04:59:00+00:00,144.53
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-T1.30,1.30001 or above,0.02,0.03,0.025,0.06,0.01,1411.51,1,2026-02-16 04:59:00+00:00,144.53
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-T1.03,1.02999 or below,0.03,0.11,0.07,0.11,0.08,847.15,1,2026-02-16 04:59:00+00:00,144.53
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.130,1.10 to 1.16,0.37,0.5,0.435,0.5,0.13,600.09,1,2026-02-16 04:59:00+00:00,144.53
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.270,1.24 to 1.30,0.0,0.05,0.01,0.01,,540.02,1,2026-02-16 04:59:00+00:00,144.53
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.200,1.17 to 1.23,0.05,0.15,0.1,0.15,0.1,416.55,1,2026-02-16 04:59:00+00:00,144.53
Climate and Weather,KXHMONTHRANGE-26JAN,Jan 2026 temperature increase?,KXHMONTHRANGE-26JAN-B1.060,1.03 to 1.09,0.25,0.5,0.375,0.48,0.25,184.05,1,2026-02-16 04:59:00+00:00,144.53
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B3.8,3.6 to 4.0,0.0,0.01,0.01,0.01,,387223.67,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-T0.1,0.0 or below,0.0,0.01,0.01,0.01,,384355.46,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B0.8,0.6 to 1.0,0.0,0.01,0.01,0.01,,384237.85,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-T5.0,5.1 or above,0.0,0.01,0.01,0.01,,384191.02,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B0.3,0.1 to 0.5,0.0,0.01,0.01,0.01,,383803.7,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B4.3,4.1 to 4.5,0.0,0.01,0.01,0.01,,383606.42,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B4.8,4.6 to 5.0,0.0,0.01,0.01,0.01,,383289.85,1,2026-02-20 13:29:00+00:00,249.03
