market_ticker,return_1h,return_6h,return_24h,trend_slope_24h,max_drawdown_24h,volatility_24h,vol_regime_shift,high_low_range_24h,candle_count
KXHMONTH-26JAN,-0.666667,-0.666667,-0.666667,-0.045172,0.75,0.807498,1.1035,1.269231,22
KXHMONTHRANGE-26JAN-T1.30,0.0,0.0,-0.666667,-0.234266,0.666667,0.392187,1.1443,1.043478,12
KXHMONTHRANGE-26JAN-T1.03,-0.125,0.0,-0.481481,-1.039216,0.535714,0.134449,1.0975,0.726496,17
KXHMONTHRANGE-26JAN-B1.130,0.351351,0.0,0.0,-0.827941,0.3,0.119516,1.5769,0.323015,16
KXHMONTHRANGE-26JAN-B1.270,0.0,9.0,9.0,1.285714,0.0,3.149344,1.065,2.769231,8
KXHMONTHRANGE-26JAN-B1.200,0.333333,0.0,0.0,0.032143,0.75,0.566603,1.4864,2.076923,15
KXHMONTHRANGE-26JAN-B1.060,-0.074074,0.442308,0.442308,1.357143,0.074074,0.112755,1.4451,0.516627,15
KXGDPYEAR-25-B3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
KXGDPYEAR-25-T0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
KXGDPYEAR-25-B0.8,,,,,,,,,0
KXGDPYEAR-25-T5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
KXGDPYEAR-25-B0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
KXGDPYEAR-25-B4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8
KXGDPYEAR-25-B4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
KXGDPYEAR-25-B1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
KXGDPYEAR-25-B3.3,0.333333,0.0,0.0,-0.131868,0.75,0.631104,1.3759,0.906977,13
KXCPICORE-26JAN-T0.2,-0.088608,-0.257732,-0.257732,-1.284211,0.278351,0.070954,1.6655,0.3387,19
KXECONSTATCPICORE-26JAN-T0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXGDPYEAR-25-B2.8,0.0,0.1,0.222222,0.192982,0.222222,0.11288,0.3302,0.538922,18
KXECONSTATCPICORE-26JAN-T0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
KXCPIYOY-26JAN-T2.2,0.0,0.021053,0.043011,0.154799,0.0,0.00449,1.0995,0.042007,18
KXECONSTATCPIYOY-26JAN-T2.4,0.04,0.04,0.04,0.045455,0.0,0.012,1.2423,0.039855,11
